adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
,,CTDNEP1,,H2AC21,ATP5MF-PTCD1,,,ALX1,MOAP1,FASTKD5,,WDR41,,,,ODAD3,ACBD6,,,,ZNF512,,,,,,PDP2,,,PLSCR3,,,,,NPIPA9,,,PPP1CC,,NPIPB2,,,,,,CHD9,,H2AC19,,,,,TYW1B,,AK4,,,SOCS6,ENSG00000285245,
,,ETV4,,POU6F1,TMEM158,,,CCDC43,NELL1,DDX3X,,NDUFS4,,,,MRPL42,SETSIP,,,,GSTA1,,,,,,SP3,,,EIF4EBP1,,,,,TTC32,,,BACE1,,HGH1,,,,,,GATD1,,ENSG00000289694,,,,,MARCKS,,JAK1,,,POLH,ENSG00000285283,
,,SWI5,,TM2D3,ARPIN-AP3S2,,,ZNF609,PTER,VPS16,,GRPEL2,,,,RPS4X,RPS18,,,,NFS1,,,,,,DMXL1,,,PABIR1,,,,,LRRC55,,,THBS2,,PPP1R3E,,,,,,MAN1B1,,ENSG00000289697,,,,,SYT15B,,RAVER2,,,KCNS3,ENSG00000285330,
,,BAIAP2,,PRKD1,TRMT9B,,,CCDC66,CACNB2,NPEPL1,,GPX8,,,,ZNF84,NPIPB7,,,,TMEM199,,,,,,NADSYN1,,,PALM3,,,,,PRKX,,,ZNF75D,,NFAM1,,,,,,TOP3A,,ENSG00000291316,,,,,CISD3,,LZIC,,,CHCHD7,TBCEL-TECTA,
,,ZDHHC21,,CCSER1,ZNF345,,,MCFD2,ARL5B,RPL17-C18orf32,,SERINC5,,,,GRK6,GPX1,,,,GSTA2,,,,,,DHCR7,,,DMBT1,,,,,PTP4A2,,,KPNA4,,B3GALT4,,,,,,LRRN4CL,,,,,,,ZNF8,,PDPN,,,USP32,ENSG00000285547,
,,PLEKHF2,,EFNA5,SHANK3,,,GAS1,SMCO4,TSTD1,,CASP3,,,,PRIM1,RPS28,,,,P2RY11,,,,,,NBEA,,,LDLRAD2,,,,,TMPRSS2,,,RPS23,,ZBED5,,,,,,HIC1,,,,,,,MYO19,,DHRS3,,,PPM1D,ENSG00000286098,
,,ARL4D,,H1-5,ZNF550,,,MIGA1,CEP295,CYB5RL,,ERAP1,,,,NPIPB13,UQCRHL,,,,GMCL2,,,,,,RNASEH2C,,,ZFTRAF1,,,,,DIABLO,,,BTN3A2,,ZNF853,,,,,,PPFIA3,,,,,,,ACACA,,LAPTM5,,,GPR27,DERPC,
,,DOK7,,PLA2G6,SHLD3,,,NRIP1,ABTB2,FNIP1,,ERAP2,,,,ZNF649,TRIM26,,,,RBM12,,,,,,ANKRD13D,,,KLHL17,,,,,FAM120C,,,ARHGAP30,,CDKN2AIPNL,,,,,,SAMD9L,,,,,,,MRPL45,,SDC3,,,TRIAP1,DUS4L-BCAP29,
,,ORAI3,,MAML2,CCDC71L,,,H2BC4,R3HCC1L,CEBPZOS,,CFAP97,,,,ZNF248,ZNF879,,,,SCARF2,,,,,,MRGPRF,,,UBQLN2,,,,,EIF3C,,,SEPTIN10,,TXNDC5,,,,,,PAWR,,,,,,,PAGR1,,RBBP4,,,MTSS1,C8orf44-SGK3,
,,UNC119B,,SS18L1,HOXA10,,,SSTR2,CEP57,ZNF579,,RICTOR,,,,TOR4A,NPIPB2,,,,PTCHD4,,,,,,MYD88,,,RILPL1,,,,,CLDN5,,,SMYD4,,NME1,,,,,,MIEF2,,,,,,,IQCJ-SCHIP1,,KIAA1522,,,TSEN34,H2AC18,
,,ASCL3,,TOP1MT,SMIM18,,,ZNF594,SPRED1,NBPF1,,UBLCP1,,,,TMEM229B,HLA-B,,,,N4BP2L2,,,,,,OXSR1,,,NHS,,,,,LRRC51,,,GPATCH8,,CDRT4,,,,,,NAP1L5,,,,,,,ZNF511-PRAP1,,UBXN10,,,NDUFA3,H2AC19,
,,TUBB6,,COPB2,ALG11,,,PCGF5,GPR176,PPP2R2A,,TLR3,,,,SOWAHC,C12orf75,,,,PGAM5,,,,,,PHF8,,,TMPPE,,,,,CRELD2,,,NF2,,WBP1,,,,,,NR2C2,,,,,,,EXOC3L2,,SCNN1D,,,NUDT6,ENSG00000289694,
,,JAKMIP2,,TXNRD2,PCDHGA10,,,TMEM64,JAM3,APOL6,,NSA2,,,,NPIPB6,HGH1,,,,USP51,,,,,,KAT5,,,ZC3H6,,,,,SCFD2,,,ARAP1,,PSMB9,,,,,,CAVIN1,,,,,,,ENSG00000283782,,MEGF6,,,TANC2,,
,,TPRN,,TMEM255B,NPIPB11,,,S1PR5,CMTM5,CCNL2,,GFM2,,,,MIER1,KDM4E,,,,ENSG00000248751,,,,,,HPSE2,,,PRKAR1B,,,,,UBE2F,,,PRR5,,COX19,,,,,,ZBTB33,,,,,,,ENSG00000284057,,DIRAS3,,,DNAJC24,,
,,ZNF683,,HDDC3,LRRC24,,,SLC36A4,GPT2,USP17L2,,CCDC127,,,,SVIP,ZBED5,,,,ATP5MF-PTCD1,,,,,,TADA2B,,,DCUN1D3,,,,,SNRNP35,,,ZFP91,,PPIL3,,,,,,C18orf32,,,,,,,SCO2,,NFIA,,,ZNF160,,
,,CSTF3,,SLITRK6,AP5B1,,,ZDHHC20,IKBIP,VPS52,,SEPTIN8,,,,DDRGK1,UBE2L5,,,,NAIP,,,,,,GRK2,,,HYKK,,,,,CMSS1,,,LYRM7,,TNFRSF13B,,,,,,PIDD1,,,,,,,LRTOMT,,OMA1,,,CEACAM3,,
,,YES1,,LPAR5,CHMP4A,,,ZFP3,RPUSD2,HLA-DPB1,,GRIK2,,,,CLEC4C,C2orf74,,,,SPATS1,,,,,,RELA,,,GTF2F2,,,,,H2AC20,,,BCR,,AQP1,,,,,,RPLP2,,,,,,,ENSG00000285130,,MYSM1,,,S1PR1,,
,,CHMP6,,SNN,NPIPA2,,,ARSJ,HIF1AN,NPIPA3,,CGAS,,,,SZT2,TMEM250,,,,ENSG00000249624,,,,,,FAM222B,,,H3-5,,,,,H2AC21,,,SPIN2B,,ARHGEF25,,,,,,HASPIN,,,,,,,ENSG00000285245,,TM2D1,,,PKIA,,
,,UFSP1,,KRBA2,DPP3,,,HOXC10,NDUFB8,PLEKHM1,,DCBLD1,,,,ZXDA,TXNDC5,,,,ARPIN-AP3S2,,,,,,HSPA6,,,CHM,,,,,POU6F1,,,ZNF397,,PEDS1,,,,,,JUN,,,,,,,ABCF2-H2BK1,,USP1,,,TSNARE1,,
,,TMEM39A,,MED12,EID1,,,PSMG4,ZFYVE19,MCRIP1,,SFXN1,,,,QRICH1,CASTOR1,,,,TRMT9B,,,,,,TRMT112,,,BLOC1S5,,,,,TM2D3,,,TRABD2A,,NSUN6,,,,,,ACAD9,,,,,,,ENSG00000285304,,DNAJB4,,,C11orf24,,
,,TCP11L1,,SEPTIN9,ENSG00000255439,,,ZNF443,SPINT1,SLC26A6,,DACT2,,,,DDX42,RNF103,,,,SMIM20,,,,,,LRRN3,,,CERKL,,,,,PRKD1,,,QRFPR,,YAE1,,,,,,PNPLA2,,,,,,,ENSG00000285330,,TYW3,,,KYAT1,,
,,GPX2,,CDCA2,ENSG00000255639,,,SSR4,BRD7,NOL7,,STXBP5,,,,TMEM116,WBP1,,,,ENSG00000250644,,,,,,KDM2A,,,H2AX,,,,,SLIT3,,,ERCC6L,,CRCP,,,,,,AGTRAP,,,,,,,ENSG00000285458,,SNX7,,,MTM1,,
,,CCDC57,,AMER1,CTSO,,,CAPS2,CKB,CROCC2,,H2AC1,,,,UCKL1,GET4,,,,SELENOP,,,,,,ADCK5,,,NCCRP1,,,,,EFNA5,,,TMEM17,,PISD,,,,,,CD151,,,,,,,TBCEL-TECTA,,FAM102B,,,TRMT61B,,
,,SPHK1,,H2BC21,HMBS,,,CUEDC1,BTRC,HSBP1L1,,STK17A,,,,PEG3,C1orf226,,,,ZNF345,,,,,,MRPL57,,,FAM83G,,,,,H1-5,,,ZNF395,,AMACR,,,,,,NECTIN3,,,,,,,ENSG00000285547,,HENMT1,,,INSR,,
,,BNIP3,,EIF4ENIF1,ASIC5,,,ZNF572,LARP6,WDR46,,GALNT10,,,,ZKSCAN8,PCDHGC3,,,,SHANK3,,,,,,ESRRA,,,CCDC9B,,,,,MAML2,,,PPARA,,ARFGAP3,,,,,,FLII,,,,,,,DERPC,,C1orf52,,,MFN1,,
,,RTTN,,APOBR,ZNF350,,,LRRC57,API5,SCAMP4,,RPS14,,,,GET3,COX19,,,,ALG11,,,,,,COMMD1,,,NBR1,,,,,SS18L1,,,PTRH1,,HLA-DMB,,,,,,HNRNPA0,,,,,,,DUS4L-BCAP29,,DNAI3,,,GIMAP8,,
,,ZNF135,,TRARG1,LSM14A,,,MRPL14,HPS6,FAM174C,,COG5,,,,ASPH,PPIL3,,,,PCDHGA10,,,,,,RAPH1,,,NDOR1,,,,,TOP1MT,,,RPS19BP1,,MICAL3,,,,,,MYOZ1,,,,,,,C8orf44-SGK3,,GBP2,,,TADA3,,
,,COX8A,,APOO,CNPY2,,,NQO1,SENP8,DHFR,,SLU7,,,,SPRED2,TNFRSF13B,,,,ZNF260,,,,,,MTX1,,,SUMO2,,,,,COPB2,,,PLCD1,,DNAAF10,,,,,,CHID1,,,,,,,PRRC2B,,ATXN7L2,,,SOCS5,,
,,CDC26,,PRR16,CHURC1,,,HIGD1A,NOLC1,RPL41,,RP9,,,,ZNF26,RDH14,,,,PINX1,,,,,,PARP14,,,NANOS1,,,,,THAP7,,,ENTPD5,,APOBEC3D,,,,,,PCDHB9,,,,,,,CTAGE4,,GBP4,,,BBLN,,
,,RNPEP,,TMED9,PDF,,,CHRM2,ALKBH3,ZNF688,,CAMLG,,,,ITSN2,MIF,,,,NPIPB11,,,,,,TUBB8B,,,RTL6,,,,,KNTC1,,,CMC1,,DDOST,,,,,,SVBP,,,,,,,ENSG00000289694,,ZNF326,,,MORN4,,
,,EID2B,,RBM33,PINX1,,,ZNF707,COPS2,NPIPB7,,USP49,,,,TCAF1,NSUN6,,,,CHMP4A,,,,,,MFSD4B,,,UROS,,,,,TXNRD2,,,RNF220,,TMEM199,,,,,,ZNF619,,,,,,,ENSG00000291316,,GFI1,,,ZNF672,,
,,GJC3,,ARMCX2,CEP95,,,TMEM132E,CCT2,GPX1,,SYTL3,,,,ZNF69,ARPC1A,,,,EEF1G,,,,,,VANGL1,,,ZDHHC9,,,,,TMEM255B,,,GCNT1,,P2RY11,,,,,,ZBTB41,,,,,,,,,AGL,,,GRIK1,,
,,KCMF1,,SUMO3,NDUFC2-KCTD14,,,SYNE4,ARIH1,RPS28,,FABP5,,,,TXNRD1,ATP5PO,,,,NPIPA2,,,,,,IQCB1,,,FAM221A,,,,,HDDC3,,,MAGED4B,,GMCL2,,,,,,ARL6IP6,,,,,,,,,EXTL2,,,TMEM126A,,
,,CLEC14A,,JAG2,SMIM6,,,WASHC1,COX11,UQCRHL,,COL1A2,,,,ZXDB,PISD,,,,BORCS8,,,,,,MZT2A,,,TMEM120B,,,,,SLITRK6,,,BCAM,,ENSG00000244255,,,,,,BET1L,,,,,,,,,SLC30A7,,,TMEM126B,,
,,CLK2,,BRI3BP,ENSG00000259132,,,AATK,STXBP4,TRIM26,,FNDC1,,,,ZNF480,PI4KA,,,,DPP3,,,,,,TNKS,,,TMEM198,,,,,LPAR5,,,RSBN1L,,DBNDD2,,,,,,DMAP1,,,,,,,,,ARPC5,,,TRIM8,,
,,LPCAT4,,AP3M1,THTPA,,,SOX2,CUL5,NPIPB2,,CHMP4C,,,,TPM2,EIF6,,,,CHMP1B,,,,,,ZBTB21,,,ZNF548,,,,,STING1,,,CIDEC,,PTCHD4,,,,,,CALHM5,,,,,,,,,NLRP3,,,NETO2,,
,,ZNF575,,F8,HOXB7,,,ZBTB2,BORCS7,HLA-B,,LMTK2,,,,SH3BGRL2,MRPL20,,,,EID1,,,,,,PPP1R3B,,,TMEM201,,,,,PDE4B,,,TAF9B,,N4BP2L2,,,,,,ALS2CL,,,,,,,,,PEX19,,,FAM98B,,
,,WDR25,,UBOX5,ENSG00000260170,,,RNF135,TMEM100,KDM4E,,SOX17,,,,ATL1,AP5Z1,,,,ENSG00000255439,,,,,,ARV1,,,NHLRC3,,,,,SNN,,,MAGI2,,H2AJ,,,,,,NDUFAF3,,,,,,,,,NCSTN,,,ZNF439,,
,,PLAAT3,,BRF1,ENSG00000260537,,,SGSH,ANAPC16,NFAM1,,DLC1,,,,GPN1,EIF4EBP3,,,,ENSG00000255639,,,,,,RNF26,,,CNR2,,,,,SEPTIN9,,,CHP1,,PGAM5,,,,,,C2orf69,,,,,,,,,OLFML2B,,,ZNF440,,
,,PHLDB3,,LRRC14B,ENSG00000260643,,,TMIE,APBB1,ZBED5,,PEX2,,,,ZNF511,STON1,,,,CTSO,,,,,,PPP1R14B,,,SLX4,,,,,RALYL,,,C11orf96,,MARS2,,,,,,GRAMD1C,,,,,,,,,FLVCR1,,,CANT1,,
,,PRR15,,SEMA4B,EPPK1,,,MEX3D,TRIM44,ZNF853,,SPIDR,,,,DDX39B,PRAF2,,,,DNAAF4,,,,,,ZNRD2,,,LRRK2,,,,,AMER1,,,GJA4,,ADH1C,,,,,,STAP2,,,,,,,,,GARIN4,,,EXOSC1,,
,,USF3,,CIB1,PIERCE2,,,MRPS23,ILK,KIFC1,,ORC5,,,,NUDT16,DNAAF10,,,,HMBS,,,,,,SMARCC1,,,NELFB,,,,,NDUFA12,,,PTMA,,CDK11B,,,,,,BOLA1,,,,,,,,,ATF3,,,PGAM1,,
,,MYO1D,,NELFA,CORO7,,,SLX1B,TAF10,CASTOR1,,OSGIN2,,,,TLK1,NME2,,,,DENND11,,,,,,ZNF417,,,ZNF292,,,,,UBE2G2,,,SIRT7,,ABHD14A,,,,,,DDX10,,,,,,,,,RBM15,,,KRT15,,
,,ZNF843,,SLC24A3,IKBKE,,,YIPF6,TPP1,RBM14,,OXR1,,,,CCDC69,CFAP57,,,,LSM14A,,,,,,PTPRM,,,ZNF567,,,,,TRARG1,,,USP7,,FMN1,,,,,,NDUFV2,,,,,,,,,TDRD5,,,LURAP1,,
,,RUFY1,,NOMO2,OTUD7B,,,DIPK2A,DCHS1,NME1,,TMEM184A,,,,KLHL9,NPIPB5,,,,CUX1,,,,,,FKBP2,,,ALKBH2,,,,,APOO,,,EXD3,,ATP5MF-PTCD1,,,,,,DALRD3,,,,,,,,,IER5,,,KCND3,,
,,BASP1,,NRBP2,RNF115,,,AMIGO1,IFTAP,WBP1,,NOS3,,,,NCOA6,TTC4,,,,CHURC1,,,,,,PEAK1,,,APOD,,,,,TMED9,,,SPRY4,,HAUS5,,,,,,ZNF518B,,,,,,,,,SNED1,,,KRT13,,
,,FAM91A1,,IFITM2,TXNIP,,,COPG1,ATP9B,MRPS17,,INTS1,,,,STK39,TMEM35B,,,,PDF,,,,,,GMPPB,,,SF3B3,,,,,RBM33,,,C2orf88,,TMEM158,,,,,,ZNF366,,,,,,,,,BPNT1,,,PDE7B,,
,,TYMS,,PRMT3,SRGAP2,,,RELL1,MOGAT2,GET4,,CDK5,,,,EIF1AY,APOBEC3D,,,,CEP95,,,,,,ZNF622,,,BLOC1S3,,,,,ARMCX2,,,TCEA1,,ENSG00000250264,,,,,,ZC3H12D,,,,,,,,,SPATA17,,,MRPL36,,
,,FUT2,,PRPF39,ENSG00000267179,,,RNF41,CYB5R2,ADSL,,SLC4A2,,,,CEP290,MRPS6,,,,NDUFC2-KCTD14,,,,,,CSPG4,,,PLAC9,,,,,SUMO3,,,NHEJ1,,SMIM20,,,,,,PLEC,,,,,,,,,BROX,,,ZNF318,,
,,GCNT4,,ZNF74,ENSG00000267561,,,C5orf24,SERPINB8,PSMB9,,FASTK,,,,TOGARAM1,NFS1,,,,SMIM6,,,,,,SNX33,,,FAM47E,,,,,IMMP2L,,,SECISBP2,,SELENOP,,,,,,GALNT11,,,,,,,,,KIF26B,,,WIPF2,,
,,THAP4,,CDNF,FDX2,,,COA4,RIC3,PPIL3,,TMUB1,,,,ECI2,DDOST,,,,ENSG00000259132,,,,,,CHD2,,,JPT1,,,,,PTRHD1,,,PEAR1,,ZNF345,,,,,,GEN1,,,,,,,,,TFB2M,,,HOPX,,
,,FAM89B,,ZBTB37,ZNF224,,,MRPS11,IDH3A,TNFRSF13B,,FMC1,,,,UNC13B,P2RY11,,,,ZHX1-C8orf76,,,,,,CEP83,,,S100A13,,,,,BRI3BP,,,ZFP69B,,ZNF550,,,,,,ZNF354B,,,,,,,,,CNST,,,RSL1D1,,
,,DPP7,,IL3RA,LIN37,,,PNMA8A,PLD4,ARHGEF25,,PHAX,,,,MT-CYB,TMEM141,,,,THTPA,,,,,,NUDT4,,,ZNF33A,,,,,DGAT1,,,EIF4EBP1,,RGS21,,,,,,CALML3,,,,,,,,,PPP1R21,,,PPID,,
,,SEC24C,,RGPD2,ENSG00000268870,,,CHST15,TRIM66,PEDS1,,COX6C,,,,PPP1R14C,ETV5,,,,ENSG00000260170,,,,,,PC,,,PCDH18,,,,,ROBO2,,,PABIR1,,CCDC71L,,,,,,ZFAND2A,,,,,,,,,OXER1,,,RXFP1,,
,,SMCR8,,CDK10,TRABD2B,,,IDH2,RPL27A,RDH14,,OSR2,,,,ZNF652,RBM12,,,,CCPG1,,,,,,NMNAT1,,,TSPYL1,,,,,AP3M1,,,PALM3,,HOXA10,,,,,,PLEKHM3,,,,,,,,,B3GALNT2,,,PTGER4,,
,,MTHFR,,SOCS1,IKBKG,,,TMEM259,DENND2B,MIF,,FZD6,,,,SMURF1,SCARF2,,,,ZNF865,,,,,,LRFN4,,,PNRC2,,,,,BRF1,,,LDLRAD2,,C1orf210,,,,,,BEND3,,,,,,,,,MAPKAPK2,,,TBCA,,
,,DEAF1,,GAS2L1,SPIB,,,GET1,CDYL2,NSUN6,,SLC25A32,,,,CDC42BPB,APOBEC3C,,,,PIERCE2,,,,,,HSPB7,,,FHIT,,,,,NELFA,,,ZFTRAF1,,ALG11,,,,,,P4HTM,,,,,,,,,MRPL55,,,PLRG1,,
,,MTX3,,ATP6V0A2,FMC1-LUC7L2,,,TNRC18,ATMIN,YAE1,,DCAF13,,,,RPL10A,N4BP2L2,,,,ZNF234,,,,,,RCE1,,,LIN54,,,,,SLC24A3,,,UBQLN2,,UTP14C,,,,,,CTXN1,,,,,,,,,WDR26,,,PIK3CD,,
,,SIX5,,PRKN,BIVM-ERCC5,,,DEXI,TMEM41B,EGFL8,,TP53INP1,,,,COLGALT2,CEBPA,,,,CFAP298-TCP10L,,,,,,BCLAF3,,,KAZN,,,,,FAF1,,,RILPL1,,EEF1G,,,,,,ERBB4,,,,,,,,,PUS10,,,SLC25A33,,
,,SCN4B,,HGS,H4C15,,,FAM89A,TMX3,ARPC1A,,INTS8,,,,ZNF830,PGAM5,,,,FSBP,,,,,,PSMD1,,,SLC35E2B,,,,,HSF1,,,ARL4C,,CKLF-CMTM1,,,,,,MAF,,,,,,,,,PEX13,,,P2RY6,,
,,NUDT4B,,MAPK11,H4C14,,,KCNIP1,MAPK7,ATP5PO,,VIRMA,,,,TMEM184B,USP51,,,,TXNIP,,,,,,C11orf80,,,GSPT2,,,,,NOMO2,,,TMPPE,,DPP3,,,,,,PSAPL1,,,,,,,,,SANBR,,,S100Z,,
,,RPS6KA3,,MRPL30,POM121C,,,TSEN54,PRKCB,C8orf58,,GEM,,,,MTOR,CDK11B,,,,SRGAP2,,,,,,STAT5B,,,ZFP92,,,,,SIGIRR,,,ZC3H6,,CHMP1B,,,,,,GTPBP6,,,,,,,,,TRIM17,,,GPR82,,
,,PUS1,,TARS3,FAM47E-STBD1,,,RGMA,HDGFL3,PISD,,PDP1,,,,ZNF521,ENSG00000248751,,,,BAHCC1,,,,,,JUP,,,GJB4,,,,,NRBP2,,,PRKAR1B,,EID1,,,,,,ERN1,,,,,,,,,CAPN13,,,GPR34,,
,,CHD9,,SMYD3,CFAP206,,,UBA7,CCDC68,EIF6,,WASHC5,,,,LRIG2,FMN1,,,,AARSD1,,,,,,RNF213,,,IL1RAP,,,,,TCEAL9,,,CENPP,,ENSG00000255639,,,,,,CSRNP3,,,,,,,,,LRRTM1,,,PLEKHG5,,
,,GJD4,,PARPBP,H4C12,,,MRPS16,ZNF3,MRPL20,,FAM219A,,,,MT-CO1,ATP5MF-PTCD1,,,,ENSG00000267001,,,,,,DPY19L1,,,HLA-DRB1,,,,,PRMT3,,,ZNF559,,CTSO,,,,,,DHFR2,,,,,,,,,MEMO1,,,ATF7IP,,
,,TOP3A,,MUC1,ZNHIT3,,,LDOC1,ZSCAN21,ARPIN,,MYORG,,,,GK,NAIP,,,,ENSG00000267179,,,,,,ZNF791,,,MYT1,,,,,PRPF39,,,H3-5,,DNAAF4,,,,,,GRINA,,,,,,,,,DPY30,,,RGS19,,
,,CASKIN2,,FAAP100,TAF9,,,ARL6IP4,TK2,AP5Z1,,PSIP1,,,,ZNF358,TMEM158,,,,FDX2,,,,,,PHC3,,,AKR1C3,,,,,KIAA0825,,,CHM,,ZNF432,,,,,,THBD,,,,,,,,,ARL5A,,,TCEA2,,
,,CCDC71,,IRF7,NOL12,,,EXT1,TMEM135,NAA80,,UBAP1,,,,SFT2D1,ENSG00000250264,,,,ZNF224,,,,,,GPR160,,,ZNF79,,,,,CDNF,,,BLOC1S5,,HMBS,,,,,,COX5A,,,,,,,,,LRATD1,,,HDAC3,,
,,LRRN4CL,,PRKG1,RCC1L,,,SHMT2,NDEL1,NME2,,SYK,,,,ARHGAP11A,SMIM20,,,,LIN37,,,,,,SPTBN2,,,S100A4,,,,,ZBTB37,,,SRSF10,,MGAM,,,,,,STX19,,,,,,,,,CFAP36,,,GPHN,,
,,SAMD9L,,SP1,H4C6,,,ATP6AP2,CENPV,CFAP57,,NIPSNAP3B,,,,HMGN2,ENSG00000250644,,,,NDUFA7,,,,,,GOLIM4,,,FAT4,,,,,IL3RA,,,CCDC9B,,MGAM2,,,,,,ZHX2,,,,,,,,,NUP35,,,VAT1L,,
,,MIEF2,,P4HB,H2AC12,,,BACE2,RRAD,NPIPB5,,ABCA1,,,,SELENOM,SELENOP,,,,ENSG00000268870,,,,,,RBM4B,,,MPHOSPH8,,,,,RGPD2,,,NBR1,,CHURC1,,,,,,APOLD1,,,,,,,,,CCDC138,,,TMEM51,,
,,NAP1L5,,PSMD13,MLLT6,,,UBE2E2,CIAO2B,TTC4,,LETM2,,,,OPA1,ZNF345,,,,TRABD2B,,,,,,C1QTNF1,,,ZNF766,,,,,CDK10,,,NDOR1,,PDF,,,,,,EXOSC4,,,,,,,,,SMC6,,,BCL2,,
,,CD19,,PBX1,PPP4R3B,,,KCNA4,HSP90B1,APOBEC3D,,FXN,,,,MT-ND3,PCDHGA12,,,,SPIB,,,,,,RBM4,,,FAM217B,,,,,GAS2L1,,,RTL6,,SYNJ2BP-COX16,,,,,,HYI,,,,,,,,,H3-3A,,,CTPS1,,
,,NR2C2,,NDUFA4L2,H4C13,,,FIGN,ATF7IP2,MRPS6,,ZMAT4,,,,KTI12,HOXA10,,,,HSPE1-MOB4,,,,,,UBXN2A,,,LCOR,,,,,HGS,,,UROS,,NDUFC2-KCTD14,,,,,,LGALS7B,,,,,,,,,SLC16A14,,,PWWP2B,,
,,GPR4,,ZFP36L1,LENG9,,,AP1S2,BEX3,ZNF512,,TMEM71,,,,RUSC2,PCDHGA5,,,,POM121C,,,,,,NRROS,,,SUPT5H,,,,,MAPK11,,,ZDHHC9,,SMIM6,,,,,,ZBTB7A,,,,,,,,,TEKT4,,,ZNF540,,
,,ACOT4,,BRWD1,H2AC15,,,C8orf33,COG1,NFS1,,MAMDC2,,,,FICD,PCDHGA6,,,,CD24,,,,,,KLHL15,,,XPNPEP3,,,,,TARS3,,,FAM221A,,ENSG00000259132,,,,,,EIF3K,,,,,,,,,SPATA18,,,EXOSC10,,
,,ZBTB33,,ZBTB3,H4C7,,,DAOA,PLEKHA7,DDOST,,KDM1B,,,,R3HDM4,PCDHGA11,,,,FAM47E-STBD1,,,,,,GNG5,,,PPIA,,,,,SMYD3,,,TMEM120B,,ZHX1-C8orf76,,,,,,SNX18,,,,,,,,,XIRP2,,,ZNF570,,
,,SLC25A22,,DRG1,ENSG00000275740,,,PLCXD1,B2M,P2RY11,,HGSNAT,,,,RUNDC1,PCDHGB7,,,,CFAP206,,,,,,MSRB3,,,ZNF471,,,,,SH3BGR,,,ZNF548,,THTPA,,,,,,MRFAP1,,,,,,,,,BBS5,,,MLLT3,,
,,RABEP2,,MORF4L1,ARHGAP23,,,CACNB4,ZNF592,TMEM141,,C9orf64,,,,CCDC152,NPIPB11,,,,DOC2B,,,,,,LEMD3,,,POM121,,,,,FAM174B,,,HMX2,,RBM15B,,,,,,RRS1,,,,,,,,,SMARCAD1,,,TRAPPC12,,
,,C18orf32,,SLC52A2,TUBGCP5,,,TSHZ2,GOLM2,GMCL2,,TRPV6,,,,DCAF12,LRRC24,,,,ZNHIT3,,,,,,FAM53A,,,CD55,,,,,GPRIN3,,,CNR2,,HOXB7,,,,,,EXOC3L1,,,,,,,,,PDLIM5,,,RPS21,,
,,PIDD1,,PCYT2,H4C9,,,EXOC7,AP1G1,ETV5,,CYBB,,,,SFMBT2,CHMP4A,,,,CYFIP1,,,,,,ZDHHC24,,,LONP1,,,,,PARPBP,,,MSL1,,SULT1A3,,,,,,RCC2,,,,,,,,,RPRD2,,,C3AR1,,
,,RPLP2,,BCAP31,H2AC14,,,KPNA2,SLFN5,APOBEC3C,,DYNLT3,,,,SMC5,ENSG00000254692,,,,RCC1L,,,,,,TRMT10C,,,ASB13,,,,,MUC1,,,TRMT2B,,EPPK1,,,,,,CYC1,,,,,,,,,SCNM1,,,MRM3,,
,,JUN,,GNB1L,H2AC16,,,CEP97,BMERB1,ASPRV1,,METTL27,,,,MT-ND1,EEF1G,,,,TBC1D3,,,,,,CTU2,,,ZNF140,,,,,FAAP100,,,FAM120AOS,,ZNF865,,,,,,SAMD4B,,,,,,,,,RNF149,,,PTEN,,
,,CSTF2T,,NPIPB4,H4C5,,,FES,SAAL1,N4BP2L2,,KIAA1958,,,,CAPZA2,NPIPA2,,,,MLLT6,,,,,,KICS2,,,PTPN1,,,,,IRF7,,,NOC2L,,PIERCE2,,,,,,GIMAP7,,,,,,,,,IWS1,,,RPS7,,
,,GBA1,,LAMP1,H2AC8,,,GLRX5,YPEL4,H2AJ,,PIGA,,,,TOP1,BORCS8,,,,PPP4R3B,,,,,,PIGG,,,EVL,,,,,PRKG1,,,NELFB,,ZNF234,,,,,,ALOXE3,,,,,,,,,BOLA3,,,TVP23B,,
,,ACAD9,,POMK,TYW1B,,,FAM104B,PPIB,PGAM5,,GAPVD1,,,,PRC1,DPP3,,,,SYNRG,,,,,,ADCY6,,,EPHB4,,,,,OLFML2A,,,KCTD21,,IKBKE,,,,,,EDC3,,,,,,,,,CDC42EP3,,,ZNF217,,
,,IL17RA,,KLHDC8B,H4C4,,,LIMK2,CIAO2A,USP51,,CARD19,,,,DZIP3,ANKHD1-EIF4EBP3,,,,ENSG00000275740,,,,,,REP15,,,ARMCX4,,,,,SP1,,,ADAT2,,NBPF11,,,,,,FUCA1,,,,,,,,,SMCP,,,ATPAF2,,
